"location_fips_code","location_name","location_type","population","state","county","metro"
"3345140","Manchester, NH","City",115037,"New Hampshire","Hillsborough County","Manchester-Nashua, NH"
"1208150","Brandon, FL","City",114923,"Florida","Hillsborough County","Tampa-St. Petersburg-Clearwater, FL"
"0611194","Carlsbad, CA","City",114745,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA"
"2537000","Lowell, MA","City",114737,"Massachusetts","Middlesex County","Boston-Cambridge-Newton, MA-NH"
"4807000","Beaumont, TX","City",114573,"Texas","Jefferson County","Beaumont-Port Arthur, TX"
"1238250","Lakeland, FL","City",114404,"Florida","Polk County","Lakeland-Winter Haven, FL"
"3731400","High Point, NC","City",114120,"North Carolina","Guilford County","Greensboro-High Point, NC"
"15680","California-Lexington Park, MD","Metro",113814,"","","California-Lexington Park, MD"
"24037","St. Mary's County, MD","County",113814,"Maryland","St. Mary's County","California-Lexington Park, MD"
"4131250","Gresham, OR","City",113525,"Oregon","Multnomah County","Portland-Vancouver-Hillsboro, OR-WA"
"4841980","League City, TX","City",113469,"Texas","Galveston County","Houston-The Woodlands-Sugar Land, TX"
"4853388","Odessa, TX","City",113353,"Texas","Ector County","Odessa, TX"
"13217","Newton County, GA","County",113298,"Georgia","Newton County","Atlanta-Sandy Springs-Alpharetta, GA"
"2646000","Lansing, MI","City",112986,"Michigan","Ingham County","Lansing-East Lansing, MI"
"51003","Albemarle County, VA","County",112513,"Virginia","Albemarle County","Charlottesville, VA"
"0650076","Murrieta, CA","City",111899,"California","Riverside County","Riverside-San Bernardino-Ontario, CA"
"1258050","Pompano Beach, FL","City",111790,"Florida","Broward County","Miami-Fort Lauderdale-Pompano Beach, FL"
"1245060","Miami Gardens, FL","City",111618,"Florida","Miami-Dade County","Miami-Fort Lauderdale-Pompano Beach, FL"
"0616532","Costa Mesa, CA","City",111490,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"0862000","Pueblo, CO","City",111430,"Colorado","Pueblo County","Pueblo, CO"
"5322640","Everett, WA","City",110847,"Washington","Snohomish County","Seattle-Tacoma-Bellevue, WA"
"46103","Pennington County, SD","County",110386,"South Dakota","Pennington County","Rapid City, SD"
"0665042","Ventura, CA","City",110358,"California","Ventura County","Oxnard-Thousand Oaks-Ventura, CA"
"0678120","Temecula, CA","City",110114,"California","Riverside County","Riverside-San Bernardino-Ontario, CA"
"13015","Bartow County, GA","County",109410,"Georgia","Bartow County","Atlanta-Sandy Springs-Alpharetta, GA"
"0684200","West Covina, CA","City",108173,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"3268400","Sparks, NV","City",108025,"Nevada","Washoe County","Reno, NV"
"0832155","Greeley, CO","City",107949,"Colorado","Weld County","Greeley, CO"
"0812815","Centennial, CO","City",107702,"Colorado","Arapahoe County","Denver-Aurora-Lakewood, CO"
"1368516","Sandy Springs, GA","City",107221,"Georgia","Fulton County","Atlanta-Sandy Springs-Alpharetta, GA"
"27019","Carver County, MN","County",107216,"Minnesota","Carver County","Minneapolis-St. Paul-Bloomington, MN-WI"
"29165","Platte County, MO","County",107033,"Missouri","Platte County","Kansas City, MO-KS"
"4134100","Hillsboro, OR","City",106612,"Oregon","Washington County","Portland-Vancouver-Hillsboro, OR-WA"
"2419125","Columbia, MD","City",106600,"Maryland","Howard County","Baltimore-Columbia-Towson, MD"
"0807850","Boulder, CO","City",106598,"Colorado","Boulder County","Boulder, CO"
"4874144","Tyler, TX","City",106440,"Texas","Smith County","Tyler, TX"
"0608954","Burbank, CA","City",106389,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"18167","Vigo County, IN","County",106355,"Indiana","Vigo County","Terre Haute, IN"
"1216475","Davie, FL","City",105821,"Florida","Broward County","Miami-Fort Lauderdale-Pompano Beach, FL"
"0177256","Tuscaloosa, AL","City",105797,"Alabama","Tuscaloosa County","Tuscaloosa, AL"
"0621712","El Cajon, CA","City",105721,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA"
"4801924","Allen, TX","City",105444,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX"
"5357745","Renton, WA","City",105355,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"01083","Limestone County, AL","County",104199,"Alabama","Limestone County","Huntsville, AL"
"0668252","San Mateo, CA","City",104165,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA"
"29300","LaGrange, GA-AL","Metro",104139,"","","LaGrange, GA-AL"
"24220","Grand Forks, ND-MN","Metro",104055,"","","Grand Forks, ND-MN"
"24015","Cecil County, MD","County",103876,"Maryland","Cecil County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"24045","Wicomico County, MD","County",103815,"Maryland","Wicomico County","Salisbury, MD-DE"
"5367167","Spokane Valley, WA","City",103761,"Washington","Spokane County","Spokane-Spokane Valley, WA"
"0617918","Daly City, CA","City",103648,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA"
"1871000","South Bend, IN","City",103084,"Indiana","St. Joseph County","South Bend-Mishawaka, IN-MI"
"2941348","Lee's Summit, MO","City",101728,"Missouri","Jackson County","Kansas City, MO-KS"
"0681554","Vacaville, CA","City",101631,"California","Solano County","Vallejo, CA"
"0836410","Highlands Ranch, CO","City",101514,"Colorado","Douglas County","Denver-Aurora-Lakewood, CO"
"2555745","Quincy, MA","City",100981,"Massachusetts","Norfolk County","Boston-Cambridge-Newton, MA-NH"
"19049","Dallas County, IA","County",100367,"Iowa","Dallas County","Des Moines-West Des Moines, IA"
"3601000","Albany, NY","City",99692,"New York","Albany County","Albany-Schenectady-Troy, NY"
"5323515","Federal Way, WA","City",99614,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"1810342","Carmel, IN","City",99453,"Indiana","Hamilton County","Indianapolis-Carmel-Anderson, IN"
"4105800","Bend, OR","City",99442,"Oregon","Deschutes County","Bend, OR"
"4864472","San Angelo, TX","City",99422,"Texas","Tom Green County","San Angelo, TX"
"5168000","Roanoke, VA","City",99213,"Virginia","Roanoke city","Roanoke, VA"
"34180","Moses Lake, WA","Metro",99145,"","","Moses Lake, WA"
"53025","Grant County, WA","County",99145,"Washington","Grant County","Moses Lake, WA"
"1823278","Fishers, IN","City",99041,"Indiana","Hamilton County","Indianapolis-Carmel-Anderson, IN"
"0682996","Vista, CA","City",98392,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA"
"47020","Victoria, TX","Metro",98301,"","","Victoria, TX"
"0845970","Longmont, CO","City",98282,"Colorado","Boulder County","Boulder, CO"
"1207300","Boca Raton, FL","City",97980,"Florida","Palm Beach County","Miami-Fort Lauderdale-Pompano Beach, FL"
"4105350","Beaverton, OR","City",97554,"Oregon","Washington County","Portland-Vancouver-Hillsboro, OR-WA"
"0428380","Goodyear, AZ","City",97542,"Arizona","Maricopa County","Phoenix-Mesa-Chandler, AZ"
"5164000","Portsmouth, VA","City",97384,"Virginia","Portsmouth city","Virginia Beach-Norfolk-Newport News, VA-NC"
"51740","Portsmouth County, VA","County",97384,"Virginia","Portsmouth city","Virginia Beach-Norfolk-Newport News, VA-NC"
"4957300","Orem, UT","City",97100,"Utah","Utah County","Provo-Orem, UT"
"1269700","Sunrise, FL","City",96510,"Florida","Broward County","Miami-Fort Lauderdale-Pompano Beach, FL"
"4967440","Sandy, UT","City",95635,"Utah","Salt Lake County","Salt Lake City, UT"
"5176432","Suffolk, VA","City",94856,"Virginia","Suffolk city","Virginia Beach-Norfolk-Newport News, VA-NC"
"51800","Suffolk County, VA","County",94856,"Virginia","Suffolk city","Virginia Beach-Norfolk-Newport News, VA-NC"
"4023200","Edmond, OK","City",94503,"Oklahoma","Oklahoma County","Oklahoma City, OK"
"3702140","Asheville, NC","City",93695,"North Carolina","Buncombe County","Asheville, NC"
"13247","Rockdale County, GA","County",93641,"Georgia","Rockdale County","Atlanta-Sandy Springs-Alpharetta, GA"
"19155","Pottawattamie County, IA","County",93543,"Iowa","Pottawattamie County","Omaha-Council Bluffs, NE-IA"
"0648256","Mission Viejo, CA","City",93233,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"1257425","Plantation, FL","City",93130,"Florida","Broward County","Miami-Fort Lauderdale-Pompano Beach, FL"
"21037","Campbell County, KY","County",93122,"Kentucky","Campbell County","Cincinnati, OH-KY-IN"
"4850820","New Braunfels, TX","City",92993,"Texas","Comal County","San Antonio-New Braunfels, TX"
"1367284","Roswell, GA","City",92770,"Georgia","Fulton County","Atlanta-Sandy Springs-Alpharetta, GA"
"4816432","Conroe, TX","City",92475,"Texas","Montgomery County","Houston-The Woodlands-Sugar Land, TX"
"0670000","Santa Monica, CA","City",92168,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"5335940","Kirkland, WA","City",92015,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"0135896","Hoover, AL","City",91995,"Alabama","Jefferson County","Birmingham-Hoover, AL"
"2954074","O'Fallon, MO","City",91825,"Missouri","St. Charles County","St. Louis, MO-IL"
"48469","Victoria County, TX","County",91209,"Texas","Victoria County","Victoria, TX"
"0955990","Norwalk, CT","City",91050,"Connecticut","Fairfield County","Bridgeport-Stamford-Norwalk, CT"
"4041850","Lawton, OK","City",91023,"Oklahoma","Comanche County","Lawton, OK"
"0613210","Chino, CA","City",91008,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA"
"4548535","Mount Pleasant, SC","City",90945,"South Carolina","Charleston County","Charleston-North Charleston, SC"
"3350260","Nashua, NH","City",90943,"New Hampshire","Hillsborough County","Manchester-Nashua, NH"
"2432025","Germantown, MD","City",90210,"Maryland","Montgomery County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"0668084","San Leandro, CA","City",89723,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"2706616","Bloomington, MN","City",89244,"Minnesota","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI"
"0404720","Avondale, AZ","City",89214,"Arizona","Maricopa County","Phoenix-Mesa-Chandler, AZ"
"1224125","Fort Myers, FL","City",88699,"Florida","Lee County","Cape Coral-Fort Myers, FL"
"2534550","Lawrence, MA","City",88067,"Massachusetts","Essex County","Boston-Cambridge-Newton, MA-NH"
"3728080","Greenville, NC","City",87894,"North Carolina","Pitt County","Greenville, NC"
"3570500","Santa Fe, NM","City",87617,"New Mexico","Santa Fe County","Santa Fe, NM"
"2680700","Troy, MI","City",87170,"Michigan","Oakland County","Detroit-Warren-Dearborn, MI"
"0641992","Livermore, CA","City",87154,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"0613588","Citrus Heights, CA","City",87127,"California","Sacramento County","Sacramento-Roseville-Folsom, CA"
"4955980","Ogden, UT","City",86754,"Utah","Weber County","Ogden-Clearfield, UT"
"0566080","Springdale, AR","City",86705,"Arkansas","Washington County","Fayetteville-Springdale-Rogers, AR"
"5303180","Auburn, WA","City",85623,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"0639496","Lake Forest, CA","City",85583,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"0651182","Newport Beach, CA","City",85159,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"1243975","Melbourne, FL","City",84982,"Florida","Brevard County","Palm Bay-Melbourne-Titusville, FL"
"2707966","Brooklyn Park, MN","City",84951,"Minnesota","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI"
"4810912","Bryan, TX","City",84820,"Texas","Brazos County","College Station-Bryan, TX"
"4806128","Baytown, TX","City",84449,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX"
"13013","Barrow County, GA","County",84399,"Georgia","Barrow County","Atlanta-Sandy Springs-Alpharetta, GA"
"5335275","Kennewick, WA","City",83823,"Washington","Benton County","Kennewick-Richland, WA"
"4727740","Franklin, TN","City",83630,"Tennessee","Williamson County","Nashville-Davidson--Murfreesboro--Franklin, TN"
"2627440","Farmington Hills, MI","City",83562,"Michigan","Oakland County","Detroit-Warren-Dearborn, MI"
"4872176","Temple, TX","City",83473,"Texas","Bell County","Killeen-Temple, TX"
"0660102","Redwood City, CA","City",83077,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA"
"1239425","Largo, FL","City",82541,"Florida","Pinellas County","Tampa-St. Petersburg-Clearwater, FL"
"2241155","Lake Charles, LA","City",82430,"Louisiana","Calcasieu Parish","Lake Charles, LA"
"1245025","Miami Beach, FL","City",82400,"Florida","Miami-Dade County","Miami-Fort Lauderdale-Pompano Beach, FL"
"18020","Columbus, IN","Metro",82371,"","","Columbus, IN"
"18005","Bartholomew County, IN","County",82371,"Indiana","Bartholomew County","Columbus, IN"
"1342425","Johns Creek, GA","City",82230,"Georgia","Fulton County","Atlanta-Sandy Springs-Alpharetta, GA"
"4843888","Longview, TX","City",82176,"Texas","Gregg County","Longview, TX"
"0649670","Mountain View, CA","City",82132,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA"
"2472450","Silver Spring, MD","City",81808,"Maryland","Montgomery County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"4943660","Layton, UT","City",81726,"Utah","Davis County","Ogden-Clearfield, UT"
"0624638","Folsom, CA","City",81077,"California","Sacramento County","Sacramento-Roseville-Folsom, CA"
"2481175","Waldorf, MD","City",81077,"Maryland","Charles County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"3650617","New Rochelle, NY","City",80828,"New York","Westchester County","New York-Newark-Jersey City, NY-NJ-PA"
"3725580","Gastonia, NC","City",80615,"North Carolina","Gaston County","Charlotte-Concord-Gastonia, NC-SC"
"2562535","Somerville, MA","City",80464,"Massachusetts","Middlesex County","Boston-Cambridge-Newton, MA-NH"
"1207875","Boynton Beach, FL","City",80068,"Florida","Palm Beach County","Miami-Fort Lauderdale-Pompano Beach, FL"
"2751730","Plymouth, MN","City",79918,"Minnesota","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI"
"0680854","Tustin, CA","City",79514,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"0650258","Napa, CA","City",79233,"California","Napa County","Napa, CA"
"0647766","Milpitas, CA","City",79092,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA"
"1805860","Bloomington, IN","City",79006,"Indiana","Monroe County","Bloomington, IN"
